title,journal,year,pages,volume,authors,keywords,pmid,issue,abstract
"A single session of 1 mA anodal tDCS-supported motor training does not improve motor performance in patients with multiple sclerosis.","Restorative neurology and neuroscience",2013,,,Array,Array,24169364,,"Rhythmic neuronal activity is ubiquitous in the human brain. These rhythms originate from a variety of different network mechanisms, which give rise to a wide-ranging spectrum of oscillation frequencies. In the last few years an increasing number of clinical research studies have explored transcranial alternating current stimulation (tACS) with weak current as a tool for affecting brain function. The premise of these interventions is that tACS will interact with ongoing brain oscillations. However, the exact mechanisms by which weak currents could affect neuronal oscillations at different frequency bands are not well known and this, in turn, limits the rational optimization of human experiments. Here we review the available in vitro and in vivo animal studies that attempt to provide mechanistic explanations. The findings can be summarized into a few generic principles, such as periodic modulation of excitability, shifts in spike timing, modulation of firing rate, and shifts in the balance of excitation and inhibition. These effects result from weak but simultaneous polarization of a large number of neurons. Whether this can lead to an entrainment or a modulation of brain oscillations, or whether AC currents have no effect at all, depends entirely on the specific dynamic that gives rise to the different brain rhythms, as discussed here for slow wave oscillations (∼1 Hz) and gamma oscillations (∼30 Hz). We conclude with suggestions for further experiments to investigate the role of AC stimulation for other physiologically relevant brain rhythms."
"Effects of weak transcranial alternating current stimulation on brain activity-a review of known mechanisms from animal studies.","Frontiers in human neuroscience",2013,,7,Array,Array,24167483,,"Background and purpose: Recent research suggests that an increased level of stroke-affected left hemisphere cortical (especially frontal) excitability is associated with better language improvement in aphasic patients. Anodal transcranial direct current stimulation (A-tDCS), increasing cortical activity, may facilitate perilesional left hemisphere recruitment to subserve language processing and enhance effects of behavioural therapy. The aim of the study (randomized, double-blind, sham-controlled) was to evaluate the effectiveness of repeated A-tDCS over Broca area as a strategy to enhance aphasia recovery during early post-stroke rehabilitation. Material and methods: Thirty-seven participants with moderate or severe aphasia were randomized to receive 15 consecutive daily sessions of A-tDCS (1 mA, 10 min; experimental group, n = 18) or sham stimulation (1 mA, 25 s; control group, n = 19) followed by language therapy. Effects of tDCS were assessed using the Boston Diagnostic Aphasia Examination, performed before and after the rehabilitation, and three months later. Results: The results did not confirm a positive impact of repeated A-tDCS, preceding language therapy, on language abilities in our patients. Although both groups improved after the therapy, there were no statistically significant differences between groups in either short-term or long-term tDCS effects. Effect sizes for the experimental group, at post-treatment and the 3-month follow-up, were slightly higher than in controls but insufficient to infer any beneficial influence of the applied intervention. Conclusions: The findings do not support A-tDCS functional benefits during early rehabilitation of post-stroke aphasia. Further research is needed to explore the effectiveness of this kind of neuromodulation."
"No effects of anodal transcranial direct stimulation on language abilities in early rehabilitation of post-stroke aphasic patients.","Neurologia i neurochirurgia polska",,,47,Array,Array,24166562,5,"The threshold and direction of excitability changes induced by low- and high-frequency repetitive transcranial magnetic stimulation (rTMS) in the primary motor cortex can be effectively reverted by a preceding session of transcranial direct current stimulation (tDCS), a phenomenon referred to as ""metaplasticity"". Here, we used a combined tDCS-rTMS protocol and visual evoked potentials (VEPs) in healthy subjects to provide direct electrophysiological evidence for metaplasticity in the human visual cortex. Specifically, we evaluated changes in VEPs at two different contrasts (90 and 20 %) before and at different time points after the application of anodal or cathodal tDCS to occipital cortex (i.e., priming), followed by an additional conditioning with low- or high-frequency rTMS. Anodal tDCS increased the amplitude of VEPs and this effect was paradoxically reverted by applying high-frequency (5 Hz), conventionally excitatory rTMS (p < 0.0001). Similarly, cathodal tDCS led to a decrease in VEPs amplitude, which was reverted by a subsequent application of conventionally inhibitory, 1 Hz rTMS (p < 0.0001). Similar changes were observed for both the N1 and P1 component of the VEP. There were no significant changes in resting motor threshold values (p > 0.5), confirming the spatial selectivity of our conditioning protocol. Our findings show that preconditioning primary visual area excitability with tDCS can modulate the direction and strength of plasticity induced by subsequent application of 1 or 5 Hz rTMS. These data indicate the presence of mechanisms of metaplasticity that keep synaptic strengths within a functional dynamic range in the human visual cortex."
"Transcranial Direct Current Stimulation in a Patient With Schizoaffective Disorder Manic Episode.","Neuromodulation : journal of the International Neuromodulation Society",2013,,,Array,Array,24165097,,"Recent studies show that acute neuromodulation of the prefrontal cortex with transcranial direct current stimulation (tDCS) can decrease food craving, attentional bias to food, and actual food intake. These data suggest potential clinical applications for tDCS in the field of obesity. However, optimal stimulation parameters in obese individuals are uncertain. One fundamental concern is whether a thick, low-conductivity layer of subcutaneous fat around the head can affect current density distribution and require dose adjustments during tDCS administration. The aim of this study was to investigate the role of head fat on the distribution of current during tDCS and evaluate whether dosing standards for tDCS developed for adult individuals in general are adequate for the obese population. We used MRI-derived high-resolution computational models that delineated fat layers in five human heads from subjects with body mass index (BMI) ranging from ""normal-lean"" to ""super-obese"" (20.9 to 53.5 kg/m(2)). Data derived from these simulations suggest that head fat influences tDCS current density across the brain, but its relative contribution is small when other components of head anatomy are added. Current density variability between subjects does not appear to have a direct and/or simple link to BMI. These results indicate that guidelines for the use of tDCS can be extrapolated to obese subjects without sacrificing efficacy and/or treatment safety; the recommended standard parameters can lead to the delivery of adequate current flow to induce neuromodulation of brain activity in the obese population."
"Evidence for metaplasticity in the human visual cortex.","Journal of neural transmission (Vienna, Austria : 1996)",2013,,,Array,Array,24162796,,"Transcranial Direct Current Stimulation (tDCS) is investigated for a broad range of neuropsychiatric indications, various rehabilitation applications, and to modulate cognitive performance in diverse tasks. Specificity of tDCS refers broadly to the ability of tDCS to produce precise, as opposed to diffuse, changes in brain function. Practically, specificity of tDCS implies application-specific customization of protocols to maximize desired outcomes and minimize undesired effects. Especially given the simplicity of tDCS and the complexity of brain function, understanding the mechanisms leading to specificity is fundamental to the rational advancement of tDCS. We define the origins of specificity based on anatomical and functional factors. Anatomical specificity derives from guiding current to targeted brain structures. Functional specificity may derive from either activity-selectivity, where active neuronal networks are preferentially modulated by tDCS, or input-selectivity, where bias is applied to different synaptic inputs. Rational advancement of tDCS may require leveraging all forms of specificity."
"Computational modeling of transcranial direct current stimulation (tDCS) in obesity: Impact of head fat and dose guidelines.","NeuroImage. Clinical",2013,,2,Array,Array,24159560,,"Eating disorders (ED) are chronic and sometimes deadly illnesses. Existing treatments have limited proven efficacy, especially in the case of adults with anorexia nervosa (AN). Emerging neural models of ED provide a rationale for more targeted, brain-directed interventions."
"Origins of specificity during tDCS: anatomical, activity-selective, and input-bias mechanisms.","Frontiers in human neuroscience",2013,,7,Array,Array,24155708,,"This systematic review has examined the effects of neuromodulation techniques on eating behaviours and body weight and assessed their potential for therapeutic use in ED."
"A systematic review of the effects of neuromodulation on eating and body weight: evidence from human and animal studies.","European eating disorders review : the journal of the Eating Disorders Association",2013,,21,Array,Array,24155246,6,"All articles in PubMed, PsychInfo and Web of Knowledge were considered and screened against a priori inclusion/exclusion criteria. The effects of repetitive transcranial magnetic stimulation (rTMS), transcranial direct current stimulation, vagus nerve stimulation (VNS) and deep brain stimulation (DBS) were examined across studies in ED samples, other psychiatric and neurological disorders, and animal models."
"Repeated Transcranial Direct Current Stimulation Prevents Abnormal Behaviors Associated with Abstinence from Chronic Nicotine Consumption.","Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology",2013,,,Array,Array,24154668,,"Sixty studies were identified. There is evidence for ED symptom reduction following rTMS and DBS in both AN and bulimia nervosa. Findings from studies of other psychiatric and neurological disorders and from animal studies demonstrate that increases in food intake and body weight can be achieved following DBS and that VNS has potential value as a means of controlling eating and inducing weight loss."
"Rapid improvement of auditory verbal hallucinations in schizophrenia after add-on treatment with transcranial direct-current stimulation.","The journal of ECT",2013,e43-4,29,Array,Array,23965609,3,"Treatment of nonresponsive auditory hallucinations in schizophrenia have been reported to improve with transcranial direct-current stimulation. This case description illustrates the use of add-on transcranial direct-current stimulation for rapid amelioration of auditory hallucinations in schizophrenia during the acute phase. Because transcranial direct-current stimulation is safe, largely well tolerated, and relatively inexpensive, this add-on treatment option is worth exploring through further rigorous studies."
"Augmentative transcranial direct current stimulation (tDCS) in poor responder depressed patients: a follow-up study.","CNS spectrums",2013,e43-4,,Array,Array,23962405,,"Transcranial direct current stimulation (tDCS) is a non-invasive neurostimulation technique that has received increasing interest in the area of mood disorders over the last several years. While acute, double-blind, sham-controlled studies have already reported positive findings in terms of efficacy and safety for tDCS, follow-up data are lacking. This need prompted the present follow-up study, which assesses post-acute effects of tDCS (no maintenance stimulation was performed), in the mid-term, in a sample of major depressives. Methods After completing an acute, open trial of tDCS, 23 outpatients with either major depressive disorder or bipolar disorder entered a naturalistic follow-up (T1) with clinical evaluations at one week (T2), 1 month (T3), and 3 months (T4). A quantitative analysis of Hamilton Depression Rating Scale (HAM-D), Montgomery-Asberg Depression Rating Scale (MADRS), and Young Mania Rating Scale (YMRS) total scores, through repeated measures analysis of variance (ANOVA) (T1-T4) and paired t-test for comparing specific time points (T1-T2, T2-T3, and T3-T4), was performed. In addition, a qualitative analysis on the basis of treatment response and remission (HAM-D) was performed."
"Time- but Not Sleep-Dependent Consolidation of tDCS-Enhanced Visuomotor Skills.","Cerebral cortex (New York, N.Y. : 1991)",2013,e43-4,,Array,Array,23960213,,"Even though a progressive reduction of follow-up completers was observed from T2 to T4 (95.6% at T2, 65.2% at T3, and 47.8% at T4), the antidepressant effects of acute tDCS persisted over 3 months in almost half of the sample. Of note, no post-acute side effects emerged during the follow-up observation. The most frequent causes of drop-out from this study included major modifications in therapeutic regimen (30%) and poor adherence to follow-up visits (17%)."
"Transcranial Direct Current Stimulation for Generalized Anxiety Disorder: A Case Study.","Biological psychiatry",2013,e43-4,,Array,Array,23958182,,"In this mid-term, open, follow-up study, tDCS showed mixed results. Further controlled studies are urgently needed to assess its effects beyond the acute phase."
"Classification of methods in transcranial electrical stimulation (tES) and evolving strategy from historical approaches to contemporary innovations.","Journal of neuroscience methods",2013,e43-4,219,Array,Array,23954780,2,"Consolidation of motor skills after training can occur in a time- or sleep-dependent fashion. Recent studies revealed time-dependent consolidation as a common feature of visuomotor tasks. We have previously shown that anodal transcranial direct current stimulation (tDCS) in combination with repeated motor training benefits consolidation by the induction of offline skill gains in a complex visuomotor task, preventing the regular occurrence of skill loss between days. Here, we asked 2 questions: What is the time course of consolidation between days for this task and do exogenously induced offline gains develop as a function of time or overnight sleep? We found that both the development of offline skill loss in sham-stimulated subjects and offline skill gains induced by anodal tDCS critically depend on the passage of time after training, but not on overnight sleep. These findings support the view that tDCS interacts directly with the physiological consolidation process. However, in a control experiment, anodal tDCS applied after the training did not induce skill gains, implying that coapplication of tDCS and training is required to induce offline skill gains, pointing to the initiation of consolidation already during training."
"Bilateral bi-cephalic tDCS with two active electrodes of the same polarity modulates bilateral cognitive processes differentially.","PloS one",2013,e43-4,8,Array,Array,23951202,8,"Transcranial Electrical Stimulation (tES) encompasses all methods of non-invasive current application to the brain used in research and clinical practice. We present the first comprehensive and technical review, explaining the evolution of tES in both terminology and dosage over the past 100 years of research to present day. Current transcranial Pulsed Current Stimulation (tPCS) approaches such as Cranial Electrotherapy Stimulation (CES) descended from Electrosleep (ES) through Cranial Electro-stimulation Therapy (CET), Transcerebral Electrotherapy (TCET), and NeuroElectric Therapy (NET) while others like Transcutaneous Cranial Electrical Stimulation (TCES) descended from Electroanesthesia (EA) through Limoge, and Interferential Stimulation. Prior to a contemporary resurgence in interest, variations of transcranial Direct Current Stimulation were explored intermittently, including Polarizing current, Galvanic Vestibular Stimulation (GVS), and Transcranial Micropolarization. The development of these approaches alongside Electroconvulsive Therapy (ECT) and pharmacological developments are considered. Both the roots and unique features of contemporary approaches such as transcranial Alternating Current Stimulation (tACS) and transcranial Random Noise Stimulation (tRNS) are discussed. Trends and incremental developments in electrode montage and waveform spanning decades are presented leading to the present day. Commercial devices, seminal conferences, and regulatory decisions are noted. We conclude with six rules on how increasing medical and technological sophistication may now be leveraged for broader success and adoption of tES."
"Brain stimulation paired with novel locomotor training with robotic gait orthosis in chronic stroke: a feasibility study.",NeuroRehabilitation,2013,e43-4,33,Array,Array,9444471,1,"Transcranial direct current stimulation (tDCS) is an innovative method to explore the causal structure-function relationship of brain areas. We investigated the specificity of bilateral bi-cephalic tDCS with two active electrodes of the same polarity (e.g., cathodal on both hemispheres) applied to intraparietal cortices bilaterally using a combined between- and within-task approach. Regarding between-task specificity, we observed that bilateral bi-cephalic tDCS affected a numerical (mental addition) but not a control task (colour word Stroop), indicating a specific influence of tDCS on numerical but not on domain general cognitive processes associated with the bilateral IPS. In particular, the numerical effect of distractor distance was more pronounced under cathodal than under anodal stimulation. Moreover, with respect to within-task specificity we only found the numerical distractor distance effect in mental addition to be modulated by direct current stimulation, whereas the effect of target identity was not affected. This implies a differential influence of bilateral bi-cephalic tDCS on the recruitment of different processing components within the same task (number magnitude processing vs. recognition of familiarity). In sum, this first successful application of bilateral bi-cephalic tDCS with two active electrodes of the same polarity in numerical cognition research corroborates the specific proposition of the Triple Code Model that number magnitude information is represented bilaterally in the intraparietal cortices."
"Transcranial direct current stimulation (tDCS) and robotic practice in chronic stroke: the dimension of timing.",NeuroRehabilitation,2013,e43-4,33,Array,Array,10349031,1,"1) To investigate the feasibility of combining transcranial direct current stimulation (tDCS) to the lower extremity (LE) motor cortex with novel locomotor training to facilitate gait in subjects with chronic stroke and low ambulatory status, and 2) to obtain insight from study subjects and their caregivers to inform future trial design."
"Non-invasive Cerebellar Stimulation-a Consensus Paper.","Cerebellum (London, England)",2013,e43-4,,Array,Array,15601514,,"Double-blind, randomized controlled study with additional qualitative exploratory descriptive design. One-month follow-up.10 subjects with stroke were recruited and randomized to active tDCS or sham tDCS for 12 sessions. Both groups participated in identical locomotor training with a robotic gait orthosis (RGO) following each tDCS session. RGO training protocol was designed to harness cortical neuroplasticity. Data analysis included assessment of functional and participation outcome measures and qualitative thematic analysis."
"Combining functional magnetic resonance imaging with transcranial electrical stimulation.","Frontiers in human neuroscience",2013,e43-4,7,Array,Array,15999258,,"Eight subjects completed the study. Both groups demonstrated trends toward improvement, but the active tDCS group showed greater improvement than the sham group. Qualitative analyses indicated beneficial effects of this combined intervention."
"Transcranial direct current stimulation of the primary motor cortex affects cortical drive to human musculature as assessed by intermuscular coherence.","The Journal of physiology",2006,795-803,577,Array,Array,17023507,"Pt 3","Intermuscular coherence analysis can be used to assess the common drive to muscles. Coherence in the beta-frequency band (15-35 Hz) is thought to arise from common cortical sources. Intermuscular coherence analysis is a potentially attractive tool for the investigation of motor cortical excitability changes because it is non-invasive and can be done relatively quickly. We carried out this study to test the hypothesis that intermuscular coherence analysis was able to detect cortical excitability changes in healthy subjects following transcranial direct current stimulation (tDCS). tDCS has been shown to increase (anodal stimulation) or decrease (cathodal stimulation) the size of the muscle potential evoked by TMS. We found that anodal tDCS caused an increase in motor evoked potential (MEP) size that was paralleled by an increase in beta-band intermuscular coherence. Similarly, the reduction in MEP size produced by cathodal tDCS was paralleled by a reduction in beta-band intermuscular coherence, while sham stimulation did not result in any change in either MEP amplitude or beta-band intermuscular coherence. The similar pattern of change observed for MEP and intermuscular coherence may indicate similar mechanisms of action, although this cannot be assumed without further investigation. These changes do suggest that at least some of the action of tDCS is on cortical networks, and that combined tDCS and intermuscular coherence analysis may be useful in the diagnosis of pathologies affecting motor cortical excitability."
"Contribution of noninvasive cortical stimulation to the study of memory functions.","Brain research reviews",2007,795-803,53,Array,Array,15110023,2,"In the memory domain, a large body of experimental evidence about subsystems of memory has been collected from classic lesion studies and functional brain imaging. Animal studies have provided information on molecular mechanisms of memory formation. Compared to this work, transcranial magnetic stimulation and transcranial direct current stimulation have made their own unique contribution. Here, we describe how noninvasive brain stimulation has been used to study the functional contribution of specific cortical areas during a given memory task, how these techniques can be used to assess LTP- and LTD-like plasticity in the living human brain, and how they can be employed to modulate memory formation in humans, suggesting an adjuvant role in neurorehabilitative treatments following brain injury."
"Transcranial direct current stimulation applied over the somatosensory cortex - differential effect on low and high frequency SEPs.","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology",2006,795-803,117,Array,Array,14981184,10,"Transcranial direct current stimulation (tDCS) has an influence on the excitability of the human motor cortex measured by motor evoked potentials (MEPs) after transcranial magnetic stimulation. Low and high frequency (HFOs) components of somatosensory evoked potentials (SEPs) were studied questioning whether a comparable effect can be observed after applying tDCS to the human somatosensory cortex."
"Transient tinnitus suppression induced by repetitive transcranial magnetic stimulation and transcranial direct current stimulation.","European journal of neurology : the official journal of the European Federation of Neurological Societies",2006,795-803,13,Array,Array,8246205,9,"Multichannel median nerve SEPs were recorded before and after applying tDCS of 1mA over a period of 9min with the cathode placed over the somatosensory cortex and the anode over the contralateral forehead and vice versa in a second session. The source activity of the N20, N30 and HFOs was evaluated before and after application of tDCS."
"Anticonvulsant effects of transcranial direct-current stimulation (tDCS) in the rat cortical ramp model of focal epilepsy.",Epilepsia,2006,795-803,47,Array,Array,8987386,7,"After cathodal tDCS to the somatosensory cortex we found a significant reduction of the N20 source amplitude while there was no effect after anodal stimulation. For the N30 component and HFOs no change in source activity was observed."
"Non-invasive brain stimulation: a new strategy to improve neurorehabilitation after stroke?","Lancet neurology",2006,795-803,5,Array,Array,9130680,8,"Corresponding to the results for the motor cortex a sustained reduction of the excitability of the somatosensory cortex after cathodal tDCS was shown."
"Cognitive effects of repeated sessions of transcranial direct current stimulation in patients with depression.","Depression and anxiety",2006,795-803,23,Array,Array,9219887,8,"We demonstrated differential effects of tDCS on the high and low frequency components of SEPs confirming the hypothesis of locally and functionally distinct generators of these two components."
"Effects of transcranial direct current stimulation on working memory in patients with Parkinson's disease.","Journal of the neurological sciences",2006,795-803,249,Array,Array,15269232,1,"Modulation of activity in the left temporoparietal area (LTA) by 10 Hz repetitive transcranial magnetic stimulation (rTMS) results in a transient reduction of tinnitus. We aimed to replicate these results and test whether transcranial direct current stimulation (tDCS) of LTA could yield similar effect. Patients with tinnitus underwent six different types of stimulation in a random order: 10-Hz rTMS of LTA, 10-Hz rTMS of mesial parietal cortex, sham rTMS, anodal tDCS of LTA, cathodal tDCS of LTA and sham tDCS. A non-parametric analysis of variance showed a significant main effect of type of stimulation (P = 0.002) and post hoc tests showed that 10-Hz rTMS and anodal tDCS of LTA resulted in a significant reduction of tinnitus. These effects were short lasting. These results replicate the findings of the previous study and, in addition, show preliminary evidence that anodal tDCS of LTA induces a similar transient tinnitus reduction as high-frequency rTMS."
"Intraoperative motor evoked potential monitoring: overview and update.","Journal of clinical monitoring and computing",2006,795-803,20,Array,Array,15673839,5,"Weak direct currents induce lasting alterations of cortical excitability in animals and humans, which are controlled by polarity, duration of stimulation, and current strength applied. To evaluate its anticonvulsant potential, transcranial direct current stimulation (tDCS) was tested in a modified cortical ramp-stimulation model of focal epilepsy."
"Noninvasive cortical stimulation with transcranial direct current stimulation in Parkinson's disease.","Movement disorders : official journal of the Movement Disorder Society",2006,795-803,21,Array,Array,15634731,10,"The threshold for localized seizure activity (TLS) was determined in freely moving rats by applying a single train of rising bipolar pulses through a unilateral epicranial electrode. After tDCS, TLS was determined repeatedly for 120 min at intervals of 15 min. The first group of animals received two sessions of cathodal tDCS at 100 microA, one for 30 and one for 60 min. A third session consisted of 60 min of anodal tDCS. A second group received cathodal tDCS at 200 microA for 15 and for 30 min, as well as anodal tDCS for 30 min."
"Enhancement of non-dominant hand motor function by anodal transcranial direct current stimulation.","Neuroscience letters",2006,232-6,404,Array,Array,16808997,1-2,"Transcranial direct current stimulation (tDCS) is a non-invasive powerful method to modulate brain activity. It can enhance motor learning and working memory in healthy subjects. To investigate the effects of anodal tDCS (1 mA, 20 min) of the dominant and non-dominant primary motor cortex (M1) on hand motor performance in healthy right-handed volunteers, healthy subjects underwent one session of both sham and active anodal stimulation of the non-dominant or dominant primary motor cortex. A blinded rater assessed motor function using the Jebsen Taylor Hand Function Test. For the non-dominant hand, active tDCS was able to improve motor function significantly-there was a significant interaction between time and condition of stimulation (p = 0.003). Post hoc tests showed a significant enhancement of JTT performance after 1 mA anodal tDCS of M1 (mean improvement of 9.41%, p = 0.0004), but not after sham tDCS (mean improvement of 1.3%, p = 0.84). For the dominant hand, however, neither active nor sham tDCS resulted in a significant change in motor performance. Our findings show that anodal tDCS of the non-dominant primary motor cortex results in motor function enhancement and thus confirm and extend the notion that tDCS can change behavior. We speculate that the under-use of the non-dominant hand with its associated consequences in cortical plasticity might be one of the reasons to explain motor performance enhancement in the non-dominant hand only."
"Intraoperative motor-evoked potential monitoring in scoliosis surgery: comparison of desflurane/nitrous oxide with propofol total intravenous anesthetic regimens.","Journal of neurosurgical anesthesiology",2006,232-6,18,Array,Array,16799350,3,"A prospective, randomized study in a large general hospital setting."
"Testing for causality with transcranial direct current stimulation: pitch memory and the left supramarginal gyrus.",Neuroreport,2006,232-6,17,Array,Array,16791101,10,"During spinal surgery, monitoring motor-evoked potentials (MEPs) is a means of assessing the intraoperative integrity of corticospinal pathways. However, MEPs are known to be sensitive to the effects of anesthetic agents."
"Modeling the current distribution during transcranial direct current stimulation.","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology",2006,232-6,117,Array,Array,16603933,7,"To compare the use of desflurane or total intravenous anesthetic regimens (TIVA) with multipulse cortical stimulation for intraoperative monitoring (IOM)."
